,NAME,Year,Units in All Multi-Family Structures,Units in Multi-Family Structures,Units in Single-Family Structures
1163,"Humphreys County, Tennessee",1993,,0,25
1164,"Humphreys County, Tennessee",1994,,4,18
1165,"Humphreys County, Tennessee",1995,,0,27
1166,"Humphreys County, Tennessee",1996,,4,33
1167,"Humphreys County, Tennessee",1997,,0,25
1168,"Humphreys County, Tennessee",1998,,0,30
1169,"Humphreys County, Tennessee",1999,,0,35
1170,"Humphreys County, Tennessee",2000,,2,18
1171,"Humphreys County, Tennessee",2001,,0,25
1172,"Humphreys County, Tennessee",2002,,37,22
1173,"Humphreys County, Tennessee",2003,,0,26
1174,"Humphreys County, Tennessee",2004,,0,29
1175,"Humphreys County, Tennessee",2005,,0,32
1176,"Humphreys County, Tennessee",2006,,0,25
1177,"Humphreys County, Tennessee",2007,,0,23
1178,"Humphreys County, Tennessee",2008,,0,8
1179,"Humphreys County, Tennessee",2009,,0,17
1180,"Humphreys County, Tennessee",2010,,48,10
1181,"Humphreys County, Tennessee",2011,,0,1
1182,"Humphreys County, Tennessee",2012,,0,4
1183,"Humphreys County, Tennessee",2013,,0,3
1184,"Humphreys County, Tennessee",2014,,0,10
1185,"Humphreys County, Tennessee",2015,,0,10
1186,"Humphreys County, Tennessee",2016,,0,8
1187,"Humphreys County, Tennessee",2017,,0,10
1188,"Humphreys County, Tennessee",2018,,0,11
1189,"Humphreys County, Tennessee",2019,,0,10
1190,"Humphreys County, Tennessee",2020,,4,10
1191,"Humphreys County, Tennessee",2021,,0,20
1192,"Humphreys County, Tennessee",2022,2,,41
1193,"Humphreys County, Tennessee",2023,0,,34
1194,"Kingston Springs town, Tennessee",1980,,0,0
1195,"Kingston Springs town, Tennessee",1981,,0,0
1196,"Kingston Springs town, Tennessee",1982,,0,4
1197,"Kingston Springs town, Tennessee",1983,,4,2
1198,"Kingston Springs town, Tennessee",1984,,0,5
1199,"Kingston Springs town, Tennessee",1985,,0,38
1200,"Kingston Springs town, Tennessee",1986,,0,37
1201,"Kingston Springs town, Tennessee",1987,,0,34
1202,"Kingston Springs town, Tennessee",1988,,0,20
1203,"Kingston Springs town, Tennessee",1989,,0,10
1204,"Kingston Springs town, Tennessee",1990,,0,9
1205,"Kingston Springs town, Tennessee",1991,,0,6
1206,"Kingston Springs town, Tennessee",1992,,0,13
1207,"Kingston Springs town, Tennessee",1993,,0,22
1208,"Kingston Springs town, Tennessee",1994,,0,62
1209,"Kingston Springs town, Tennessee",1995,,0,45
1210,"Kingston Springs town, Tennessee",1996,,0,48
1211,"Kingston Springs town, Tennessee",1997,,34,69
1212,"Kingston Springs town, Tennessee",1998,,0,16
1213,"Kingston Springs town, Tennessee",1999,,0,16
1214,"Kingston Springs town, Tennessee",2000,,0,14
1215,"Kingston Springs town, Tennessee",2001,,2,15
1216,"Kingston Springs town, Tennessee",2002,,0,14
1217,"Kingston Springs town, Tennessee",2003,,2,9
1218,"Kingston Springs town, Tennessee",2004,,0,9
1219,"Kingston Springs town, Tennessee",2005,,2,26
1220,"Kingston Springs town, Tennessee",2006,,8,10
1221,"Kingston Springs town, Tennessee",2007,,0,20
1222,"Kingston Springs town, Tennessee",2008,,0,7
1223,"Kingston Springs town, Tennessee",2009,,5,4
1224,"Kingston Springs town, Tennessee",2010,,0,4
1225,"Kingston Springs town, Tennessee",2011,,0,2
1226,"Kingston Springs town, Tennessee",2012,,0,1
1227,"Kingston Springs town, Tennessee",2013,,0,3
1228,"Kingston Springs town, Tennessee",2014,,0,0
1229,"Kingston Springs town, Tennessee",2015,,0,3
1230,"Kingston Springs town, Tennessee",2016,,0,6
1231,"Kingston Springs town, Tennessee",2017,,0,7
1232,"Kingston Springs town, Tennessee",2018,,0,11
1233,"Kingston Springs town, Tennessee",2019,,0,3
1234,"Kingston Springs town, Tennessee",2020,,0,3
1235,"Kingston Springs town, Tennessee",2021,,0,5
1236,"Kingston Springs town, Tennessee",2022,0,,9
1237,"Kingston Springs town, Tennessee",2023,0,,5
1238,"La Vergne city, Tennessee",1980,,0,113
1239,"La Vergne city, Tennessee",1981,,0,52
1240,"La Vergne city, Tennessee",1982,,60,30
1241,"La Vergne city, Tennessee",1983,,0,31
1242,"La Vergne city, Tennessee",1984,,18,16
1243,"La Vergne city, Tennessee",1985,,0,54
1244,"La Vergne city, Tennessee",1986,,12,46
1245,"La Vergne city, Tennessee",1987,,21,63
1246,"La Vergne city, Tennessee",1988,,0,100
1247,"La Vergne city, Tennessee",1989,,0,176
1248,"La Vergne city, Tennessee",1990,,0,184
1249,"La Vergne city, Tennessee",1991,,0,203
1250,"La Vergne city, Tennessee",1992,,0,256
1251,"La Vergne city, Tennessee",1993,,0,293
1252,"La Vergne city, Tennessee",1994,,0,505
1253,"La Vergne city, Tennessee",1995,,130,477
1254,"La Vergne city, Tennessee",1996,,0,334
1255,"La Vergne city, Tennessee",1997,,0,340
1256,"La Vergne city, Tennessee",1998,,24,339
1257,"La Vergne city, Tennessee",1999,,17,387
1258,"La Vergne city, Tennessee",2000,,3,457
1259,"La Vergne city, Tennessee",2001,,36,684
1260,"La Vergne city, Tennessee",2002,,0,609
1261,"La Vergne city, Tennessee",2003,,51,662
1262,"La Vergne city, Tennessee",2004,,0,641
1263,"La Vergne city, Tennessee",2005,,0,594
1264,"La Vergne city, Tennessee",2006,,0,561
1265,"La Vergne city, Tennessee",2007,,0,370
1266,"La Vergne city, Tennessee",2008,,0,219
1267,"La Vergne city, Tennessee",2009,,0,78
1268,"La Vergne city, Tennessee",2010,,0,102
1269,"La Vergne city, Tennessee",2011,,0,25
1270,"La Vergne city, Tennessee",2012,,0,48
1271,"La Vergne city, Tennessee",2013,,0,53
1272,"La Vergne city, Tennessee",2014,,0,56
1273,"La Vergne city, Tennessee",2015,,0,59
1274,"La Vergne city, Tennessee",2016,,0,63
1275,"La Vergne city, Tennessee",2017,,0,72
1276,"La Vergne city, Tennessee",2018,,0,74
1277,"La Vergne city, Tennessee",2019,,0,78
1278,"La Vergne city, Tennessee",2020,,0,92
1279,"La Vergne city, Tennessee",2021,,0,103
1280,"La Vergne city, Tennessee",2022,0,,90
1281,"La Vergne city, Tennessee",2023,0,,186
1282,"Lebanon city, Tennessee",1980,,4,3
1283,"Lebanon city, Tennessee",1981,,0,0
1284,"Lebanon city, Tennessee",1982,,4,0
1285,"Lebanon city, Tennessee",1983,,13,3
1286,"Lebanon city, Tennessee",1984,,18,8
1287,"Lebanon city, Tennessee",1985,,54,19
1288,"Lebanon city, Tennessee",1986,,42,10
1289,"Lebanon city, Tennessee",1987,,144,26
1290,"Lebanon city, Tennessee",1988,,68,38
1291,"Lebanon city, Tennessee",1989,,66,32
1292,"Lebanon city, Tennessee",1990,,55,37
1293,"Lebanon city, Tennessee",1991,,34,54
1294,"Lebanon city, Tennessee",1992,,19,45
1295,"Lebanon city, Tennessee",1993,,36,53
1296,"Lebanon city, Tennessee",1994,,26,85
1297,"Lebanon city, Tennessee",1995,,30,126
1298,"Lebanon city, Tennessee",1996,,170,132
1299,"Lebanon city, Tennessee",1997,,160,144
1300,"Lebanon city, Tennessee",1998,,32,168
1301,"Lebanon city, Tennessee",1999,,55,151
1302,"Lebanon city, Tennessee",2000,,32,88
1303,"Lebanon city, Tennessee",2001,,48,99
1304,"Lebanon city, Tennessee",2002,,20,202
1305,"Lebanon city, Tennessee",2003,,241,337
1306,"Lebanon city, Tennessee",2004,,50,226
1307,"Lebanon city, Tennessee",2005,,51,249
1308,"Lebanon city, Tennessee",2006,,30,167
1309,"Lebanon city, Tennessee",2007,,2,215
1310,"Lebanon city, Tennessee",2008,,6,185
1311,"Lebanon city, Tennessee",2009,,4,121
1312,"Lebanon city, Tennessee",2010,,298,132
1313,"Lebanon city, Tennessee",2011,,43,121
1314,"Lebanon city, Tennessee",2012,,7,147
1315,"Lebanon city, Tennessee",2013,,144,237
1316,"Lebanon city, Tennessee",2014,,156,272
1317,"Lebanon city, Tennessee",2015,,102,314
1318,"Lebanon city, Tennessee",2016,,78,318
1319,"Lebanon city, Tennessee",2017,,864,474
1320,"Lebanon city, Tennessee",2018,,72,418
1321,"Lebanon city, Tennessee",2019,,88,746
1322,"Lebanon city, Tennessee",2020,,530,738
1323,"Lebanon city, Tennessee",2021,,0,1258
1324,"Lebanon city, Tennessee",2022,250,,1545
1325,"Lebanon city, Tennessee",2023,30,,1203
1326,"Maury County, Tennessee",1980,,168,60
1327,"Maury County, Tennessee",1981,,0,44
1328,"Maury County, Tennessee",1982,,2,32
1329,"Maury County, Tennessee",1983,,90,103
1330,"Maury County, Tennessee",1984,,34,79
1331,"Maury County, Tennessee",1985,,218,155
1332,"Maury County, Tennessee",1986,,115,154
1333,"Maury County, Tennessee",1987,,88,138
1334,"Maury County, Tennessee",1988,,217,195
1335,"Maury County, Tennessee",1989,,34,271
1336,"Maury County, Tennessee",1990,,240,575
1337,"Maury County, Tennessee",1991,,124,522
1338,"Maury County, Tennessee",1992,,50,503
1339,"Maury County, Tennessee",1993,,8,854
1340,"Maury County, Tennessee",1994,,4,676
1341,"Maury County, Tennessee",1995,,20,735
1342,"Maury County, Tennessee",1996,,50,816
1343,"Maury County, Tennessee",1997,,258,766
1344,"Maury County, Tennessee",1998,,0,734
1345,"Maury County, Tennessee",1999,,0,862
1346,"Maury County, Tennessee",2000,,0,754
1347,"Maury County, Tennessee",2001,,14,916
1348,"Maury County, Tennessee",2002,,44,1165
1349,"Maury County, Tennessee",2003,,98,1289
1350,"Maury County, Tennessee",2004,,160,1542
1351,"Maury County, Tennessee",2005,,10,1926
1352,"Maury County, Tennessee",2006,,142,1814
1353,"Maury County, Tennessee",2007,,156,1137
1354,"Maury County, Tennessee",2008,,6,622
1355,"Maury County, Tennessee",2009,,0,367
1356,"Maury County, Tennessee",2010,,0,341
1357,"Maury County, Tennessee",2011,,15,387
1358,"Maury County, Tennessee",2012,,0,542
1359,"Maury County, Tennessee",2013,,12,677
1360,"Maury County, Tennessee",2014,,4,780
1361,"Maury County, Tennessee",2015,,0,875
1362,"Maury County, Tennessee",2016,,28,1198
1363,"Maury County, Tennessee",2017,,116,1396
1364,"Maury County, Tennessee",2018,,28,1538
1365,"Maury County, Tennessee",2019,,175,1347
1366,"Maury County, Tennessee",2020,,142,1749
1367,"Maury County, Tennessee",2021,,711,1686
1368,"Maury County, Tennessee",2022,91,,1772
1369,"Maury County, Tennessee",2023,241,,1321
1370,Maury Unincorporated,1980,,0,0
1371,Maury Unincorporated,1981,,0,0
1372,Maury Unincorporated,1982,,0,0
1373,Maury Unincorporated,1983,,0,0
1374,Maury Unincorporated,1984,,0,0
1375,Maury Unincorporated,1985,,0,0
1376,Maury Unincorporated,1986,,0,0
1377,Maury Unincorporated,1987,,0,0
1378,Maury Unincorporated,1988,,0,0
1379,Maury Unincorporated,1989,,0,0
1380,Maury Unincorporated,1990,,50,293
1381,Maury Unincorporated,1991,,46,253
1382,Maury Unincorporated,1992,,50,407
1383,Maury Unincorporated,1993,,6,629
1384,Maury Unincorporated,1994,,4,326
1385,Maury Unincorporated,1995,,0,266
1386,Maury Unincorporated,1996,,0,310
1387,Maury Unincorporated,1997,,0,339
1388,Maury Unincorporated,1998,,0,315
1389,Maury Unincorporated,1999,,0,336
1390,Maury Unincorporated,2000,,0,251
1391,Maury Unincorporated,2001,,0,264
1392,Maury Unincorporated,2002,,4,268
1393,Maury Unincorporated,2003,,0,270
1394,Maury Unincorporated,2004,,2,303
1395,Maury Unincorporated,2005,,0,296
1396,Maury Unincorporated,2006,,12,319
1397,Maury Unincorporated,2007,,0,241
1398,Maury Unincorporated,2008,,0,143
1399,Maury Unincorporated,2009,,0,95
1400,Maury Unincorporated,2010,,0,76
1401,Maury Unincorporated,2011,,0,60
1402,Maury Unincorporated,2012,,0,77
1403,Maury Unincorporated,2013,,0,125
1404,Maury Unincorporated,2014,,0,129
1405,Maury Unincorporated,2015,,0,178
1406,Maury Unincorporated,2016,,0,188
1407,Maury Unincorporated,2017,,0,182
1408,Maury Unincorporated,2018,,0,194
1409,Maury Unincorporated,2019,,0,164
1410,Maury Unincorporated,2020,,0,174
1411,Maury Unincorporated,2021,,0,245
1412,Maury Unincorporated,2022,2,,219
1413,Maury Unincorporated,2023,2,,195
1414,"McEwen city, Tennessee",2022,0,,11
1415,"McEwen city, Tennessee",2023,0,,11
1416,"Millersville city, Tennessee",1980,,0,0
1417,"Millersville city, Tennessee",1981,,0,0
1418,"Millersville city, Tennessee",1982,,0,0
1419,"Millersville city, Tennessee",1983,,0,0
1420,"Millersville city, Tennessee",1984,,0,0
1421,"Millersville city, Tennessee",1985,,0,0
1422,"Millersville city, Tennessee",1986,,0,0
1423,"Millersville city, Tennessee",1987,,0,0
1424,"Millersville city, Tennessee",1988,,0,0
1425,"Millersville city, Tennessee",1989,,0,0
1426,"Millersville city, Tennessee",1990,,0,27
1427,"Millersville city, Tennessee",1991,,0,12
1428,"Millersville city, Tennessee",1992,,0,17
1429,"Millersville city, Tennessee",1993,,0,20
1430,"Millersville city, Tennessee",1994,,0,22
1431,"Millersville city, Tennessee",1995,,0,19
1432,"Millersville city, Tennessee",1996,,35,71
1433,"Millersville city, Tennessee",1997,,40,100
1434,"Millersville city, Tennessee",1998,,0,143
1435,"Millersville city, Tennessee",1999,,0,123
1436,"Millersville city, Tennessee",2000,,0,88
1437,"Millersville city, Tennessee",2001,,0,121
1438,"Millersville city, Tennessee",2002,,0,81
1439,"Millersville city, Tennessee",2003,,0,20
1440,"Millersville city, Tennessee",2004,,8,14
1441,"Millersville city, Tennessee",2005,,16,27
1442,"Millersville city, Tennessee",2006,,0,23
1443,"Millersville city, Tennessee",2007,,0,24
1444,"Millersville city, Tennessee",2008,,2,6
1445,"Millersville city, Tennessee",2009,,0,14
1446,"Millersville city, Tennessee",2010,,0,8
1447,"Millersville city, Tennessee",2011,,0,4
1448,"Millersville city, Tennessee",2012,,0,2
1449,"Millersville city, Tennessee",2013,,0,4
1450,"Millersville city, Tennessee",2014,,0,1
1451,"Millersville city, Tennessee",2015,,0,10
1452,"Millersville city, Tennessee",2016,,0,15
1453,"Millersville city, Tennessee",2017,,0,19
1454,"Millersville city, Tennessee",2018,,0,13
1455,"Millersville city, Tennessee",2019,,0,8
1456,"Millersville city, Tennessee",2020,,0,2
1457,"Millersville city, Tennessee",2021,,0,6
1458,"Millersville city, Tennessee",2022,0,,27
1459,"Millersville city, Tennessee",2023,2,,47
1460,"Mitchellville city, Tennessee",1980,,0,0
1461,"Mitchellville city, Tennessee",1981,,0,0
1462,"Mitchellville city, Tennessee",1982,,0,0
1463,"Mitchellville city, Tennessee",1983,,0,0
1464,"Mitchellville city, Tennessee",1984,,0,0
1465,"Mitchellville city, Tennessee",1985,,0,0
1466,"Mitchellville city, Tennessee",1986,,0,0
1467,"Mitchellville city, Tennessee",1987,,0,0
1468,"Mitchellville city, Tennessee",1988,,0,0
1469,"Mitchellville city, Tennessee",1989,,0,0
1470,"Mitchellville city, Tennessee",1990,,0,0
1471,"Mitchellville city, Tennessee",1991,,0,0
1472,"Mitchellville city, Tennessee",1992,,0,0
1473,"Mitchellville city, Tennessee",1993,,0,0
1474,"Mitchellville city, Tennessee",1994,,0,0
1475,"Mitchellville city, Tennessee",1995,,0,0
1476,"Mitchellville city, Tennessee",1996,,0,0
1477,"Mitchellville city, Tennessee",1997,,0,0
1478,"Mitchellville city, Tennessee",1998,,0,0
1479,"Mitchellville city, Tennessee",1999,,0,0
1480,"Mitchellville city, Tennessee",2000,,0,0
1481,"Mitchellville city, Tennessee",2001,,0,0
1482,"Mitchellville city, Tennessee",2002,,0,0
1483,"Mitchellville city, Tennessee",2003,,0,0
1484,"Mitchellville city, Tennessee",2004,,0,0
1485,"Mitchellville city, Tennessee",2005,,0,0
1486,"Mitchellville city, Tennessee",2006,,0,2
1487,"Mitchellville city, Tennessee",2007,,0,0
1488,"Mitchellville city, Tennessee",2008,,0,0
1489,"Mitchellville city, Tennessee",2009,,0,0
1490,"Mitchellville city, Tennessee",2010,,0,0
1491,"Mitchellville city, Tennessee",2011,,0,0
1492,"Mitchellville city, Tennessee",2012,,0,0
1493,"Mitchellville city, Tennessee",2013,,0,0
1494,"Mitchellville city, Tennessee",2014,,0,0
1495,"Mitchellville city, Tennessee",2015,,0,0
1496,"Mitchellville city, Tennessee",2016,,0,0
1497,"Mitchellville city, Tennessee",2017,,0,0
1498,"Mitchellville city, Tennessee",2018,,0,0
1499,"Mitchellville city, Tennessee",2019,,0,0
1500,"Mitchellville city, Tennessee",2020,,0,0
1501,"Mitchellville city, Tennessee",2021,,0,0
1502,"Mitchellville city, Tennessee",2022,0,,0
1503,"Mitchellville city, Tennessee",2023,0,,0
1504,"Montgomery County, Tennessee",1980,,150,599
1505,"Montgomery County, Tennessee",1981,,56,186
1506,"Montgomery County, Tennessee",1982,,418,458
1507,"Montgomery County, Tennessee",1983,,333,834
1508,"Montgomery County, Tennessee",1984,,297,609
1509,"Montgomery County, Tennessee",1985,,221,736
1510,"Montgomery County, Tennessee",1986,,248,980
1511,"Montgomery County, Tennessee",1987,,302,894
1512,"Montgomery County, Tennessee",1988,,288,881
1513,"Montgomery County, Tennessee",1989,,337,841
1514,"Montgomery County, Tennessee",1990,,117,716
1515,"Montgomery County, Tennessee",1991,,106,1111
1516,"Montgomery County, Tennessee",1992,,139,1362
1517,"Montgomery County, Tennessee",1993,,378,1565
1518,"Montgomery County, Tennessee",1994,,518,1442
1519,"Montgomery County, Tennessee",1995,,517,1602
1520,"Montgomery County, Tennessee",1996,,378,1418
1521,"Montgomery County, Tennessee",1997,,340,1129
1522,"Montgomery County, Tennessee",1998,,111,1170
1523,"Montgomery County, Tennessee",1999,,88,1213
1524,"Montgomery County, Tennessee",2000,,377,966
1525,"Montgomery County, Tennessee",2001,,480,1055
1526,"Montgomery County, Tennessee",2002,,343,1201
1527,"Montgomery County, Tennessee",2003,,589,1402
1528,"Montgomery County, Tennessee",2004,,412,2088
1529,"Montgomery County, Tennessee",2005,,779,1843
1530,"Montgomery County, Tennessee",2006,,1089,1914
1531,"Montgomery County, Tennessee",2007,,535,1378
1532,"Montgomery County, Tennessee",2008,,418,907
1533,"Montgomery County, Tennessee",2009,,181,1207
1534,"Montgomery County, Tennessee",2010,,760,1040
1535,"Montgomery County, Tennessee",2011,,510,1340
1536,"Montgomery County, Tennessee",2012,,421,1308
1537,"Montgomery County, Tennessee",2013,,580,1165
1538,"Montgomery County, Tennessee",2014,,222,1224
1539,"Montgomery County, Tennessee",2015,,186,1077
1540,"Montgomery County, Tennessee",2016,,290,1241
1541,"Montgomery County, Tennessee",2017,,231,1485
1542,"Montgomery County, Tennessee",2018,,277,1446
1543,"Montgomery County, Tennessee",2019,,210,2265
1544,"Montgomery County, Tennessee",2020,,688,2946
1545,"Montgomery County, Tennessee",2021,,1889,2119
1546,"Montgomery County, Tennessee",2022,2580,,1425
1547,"Montgomery County, Tennessee",2023,1492,,1292
1548,Montgomery Unincorporated,1980,,112,84
1549,Montgomery Unincorporated,1981,,2,83
1550,Montgomery Unincorporated,1982,,2,133
1551,Montgomery Unincorporated,1983,,5,248
1552,Montgomery Unincorporated,1984,,0,189
1553,Montgomery Unincorporated,1985,,7,181
1554,Montgomery Unincorporated,1986,,0,311
1555,Montgomery Unincorporated,1987,,7,218
1556,Montgomery Unincorporated,1988,,18,265
1557,Montgomery Unincorporated,1989,,0,257
1558,Montgomery Unincorporated,1990,,9,201
1559,Montgomery Unincorporated,1991,,0,318
1560,Montgomery Unincorporated,1992,,4,478
1561,Montgomery Unincorporated,1993,,7,563
1562,Montgomery Unincorporated,1994,,16,579
1563,Montgomery Unincorporated,1995,,104,710
1564,Montgomery Unincorporated,1996,,12,510
1565,Montgomery Unincorporated,1997,,2,373
1566,Montgomery Unincorporated,1998,,0,305
1567,Montgomery Unincorporated,1999,,0,364
1568,Montgomery Unincorporated,2000,,0,338
1569,Montgomery Unincorporated,2001,,0,363
1570,Montgomery Unincorporated,2002,,0,395
1571,Montgomery Unincorporated,2003,,0,415
1572,Montgomery Unincorporated,2004,,0,538
1573,Montgomery Unincorporated,2005,,4,469
1574,Montgomery Unincorporated,2006,,4,477
1575,Montgomery Unincorporated,2007,,0,340
1576,Montgomery Unincorporated,2008,,0,272
1577,Montgomery Unincorporated,2009,,0,348
1578,Montgomery Unincorporated,2010,,0,365
1579,Montgomery Unincorporated,2011,,0,344
1580,Montgomery Unincorporated,2012,,0,371
1581,Montgomery Unincorporated,2013,,0,386
1582,Montgomery Unincorporated,2014,,85,374
1583,Montgomery Unincorporated,2015,,118,389
1584,Montgomery Unincorporated,2016,,34,453
1585,Montgomery Unincorporated,2017,,4,679
1586,Montgomery Unincorporated,2018,,8,777
1587,Montgomery Unincorporated,2019,,50,837
1588,Montgomery Unincorporated,2020,,367,1019
1589,Montgomery Unincorporated,2021,,76,667
1590,Montgomery Unincorporated,2022,420,,452
1591,Montgomery Unincorporated,2023,37,,487
1592,"Mount Juliet city, Tennessee",1980,,0,0
1593,"Mount Juliet city, Tennessee",1981,,0,0
1594,"Mount Juliet city, Tennessee",1982,,0,12
1595,"Mount Juliet city, Tennessee",1983,,0,18
1596,"Mount Juliet city, Tennessee",1984,,0,38
1597,"Mount Juliet city, Tennessee",1985,,8,42
1598,"Mount Juliet city, Tennessee",1986,,0,83
1599,"Mount Juliet city, Tennessee",1987,,0,48
1600,"Mount Juliet city, Tennessee",1988,,0,82
1601,"Mount Juliet city, Tennessee",1989,,96,68
1602,"Mount Juliet city, Tennessee",1990,,0,72
1603,"Mount Juliet city, Tennessee",1991,,0,66
1604,"Mount Juliet city, Tennessee",1992,,0,74
1605,"Mount Juliet city, Tennessee",1993,,0,101
1606,"Mount Juliet city, Tennessee",1994,,0,155
1607,"Mount Juliet city, Tennessee",1995,,0,148
1608,"Mount Juliet city, Tennessee",1996,,145,166
1609,"Mount Juliet city, Tennessee",1997,,0,149
1610,"Mount Juliet city, Tennessee",1998,,0,230
1611,"Mount Juliet city, Tennessee",1999,,0,240
1612,"Mount Juliet city, Tennessee",2000,,0,279
1613,"Mount Juliet city, Tennessee",2001,,0,293
1614,"Mount Juliet city, Tennessee",2002,,12,366
1615,"Mount Juliet city, Tennessee",2003,,7,361
1616,"Mount Juliet city, Tennessee",2004,,0,321
1617,"Mount Juliet city, Tennessee",2005,,0,499
1618,"Mount Juliet city, Tennessee",2006,,0,388
1619,"Mount Juliet city, Tennessee",2007,,0,549
1620,"Mount Juliet city, Tennessee",2008,,380,337
1621,"Mount Juliet city, Tennessee",2009,,9,208
1622,"Mount Juliet city, Tennessee",2010,,3,347
1623,"Mount Juliet city, Tennessee",2011,,6,341
1624,"Mount Juliet city, Tennessee",2012,,50,386
1625,"Mount Juliet city, Tennessee",2013,,21,360
1626,"Mount Juliet city, Tennessee",2014,,473,362
1627,"Mount Juliet city, Tennessee",2015,,318,296
1628,"Mount Juliet city, Tennessee",2016,,102,428
1629,"Mount Juliet city, Tennessee",2017,,0,503
1630,"Mount Juliet city, Tennessee",2018,,0,485
1631,"Mount Juliet city, Tennessee",2019,,96,602
1632,"Mount Juliet city, Tennessee",2020,,9,649
1633,"Mount Juliet city, Tennessee",2021,,0,609
1634,"Mount Juliet city, Tennessee",2022,16,,155
1635,"Mount Juliet city, Tennessee",2023,8,,265
1636,"Mount Pleasant city, Tennessee",1980,,80,5
1637,"Mount Pleasant city, Tennessee",1981,,0,6
1638,"Mount Pleasant city, Tennessee",1982,,0,19
1639,"Mount Pleasant city, Tennessee",1983,,32,12
1640,"Mount Pleasant city, Tennessee",1984,,0,14
1641,"Mount Pleasant city, Tennessee",1985,,0,5
1642,"Mount Pleasant city, Tennessee",1986,,0,13
1643,"Mount Pleasant city, Tennessee",1987,,0,10
1644,"Mount Pleasant city, Tennessee",1988,,40,10
1645,"Mount Pleasant city, Tennessee",1989,,6,8
1646,"Mount Pleasant city, Tennessee",1990,,0,14
1647,"Mount Pleasant city, Tennessee",1991,,0,20
1648,"Mount Pleasant city, Tennessee",1992,,0,20
1649,"Mount Pleasant city, Tennessee",1993,,2,30
1650,"Mount Pleasant city, Tennessee",1994,,0,23
1651,"Mount Pleasant city, Tennessee",1995,,2,10
1652,"Mount Pleasant city, Tennessee",1996,,0,9
1653,"Mount Pleasant city, Tennessee",1997,,0,15
1654,"Mount Pleasant city, Tennessee",1998,,0,9
1655,"Mount Pleasant city, Tennessee",1999,,0,16
1656,"Mount Pleasant city, Tennessee",2000,,0,19
1657,"Mount Pleasant city, Tennessee",2001,,0,23
1658,"Mount Pleasant city, Tennessee",2002,,0,12
1659,"Mount Pleasant city, Tennessee",2003,,0,8
1660,"Mount Pleasant city, Tennessee",2004,,0,19
1661,"Mount Pleasant city, Tennessee",2005,,0,20
1662,"Mount Pleasant city, Tennessee",2006,,0,16
1663,"Mount Pleasant city, Tennessee",2007,,0,14
1664,"Mount Pleasant city, Tennessee",2008,,0,9
1665,"Mount Pleasant city, Tennessee",2009,,0,4
1666,"Mount Pleasant city, Tennessee",2010,,0,3
1667,"Mount Pleasant city, Tennessee",2011,,0,3
1668,"Mount Pleasant city, Tennessee",2012,,0,3
1669,"Mount Pleasant city, Tennessee",2013,,0,3
1670,"Mount Pleasant city, Tennessee",2014,,0,3
1671,"Mount Pleasant city, Tennessee",2015,,0,3
1672,"Mount Pleasant city, Tennessee",2016,,0,15
1673,"Mount Pleasant city, Tennessee",2017,,0,6
1674,"Mount Pleasant city, Tennessee",2018,,4,7
1675,"Mount Pleasant city, Tennessee",2019,,4,7
1676,"Mount Pleasant city, Tennessee",2020,,4,9
1677,"Mount Pleasant city, Tennessee",2021,,4,10
1678,"Mount Pleasant city, Tennessee",2022,12,,4
1679,"Mount Pleasant city, Tennessee",2023,8,,14
1680,"Murfreesboro city, Tennessee",1980,,140,28
1681,"Murfreesboro city, Tennessee",1981,,312,43
1682,"Murfreesboro city, Tennessee",1982,,361,49
1683,"Murfreesboro city, Tennessee",1983,,268,149
1684,"Murfreesboro city, Tennessee",1984,,788,253
1685,"Murfreesboro city, Tennessee",1985,,165,322
1686,"Murfreesboro city, Tennessee",1986,,487,660
1687,"Murfreesboro city, Tennessee",1987,,384,640
1688,"Murfreesboro city, Tennessee",1988,,202,403
1689,"Murfreesboro city, Tennessee",1989,,193,338
1690,"Murfreesboro city, Tennessee",1990,,84,320
1691,"Murfreesboro city, Tennessee",1991,,5,397
1692,"Murfreesboro city, Tennessee",1992,,4,459
1693,"Murfreesboro city, Tennessee",1993,,23,549
1694,"Murfreesboro city, Tennessee",1994,,189,649
1695,"Murfreesboro city, Tennessee",1995,,392,747
1696,"Murfreesboro city, Tennessee",1996,,1057,921
1697,"Murfreesboro city, Tennessee",1997,,246,642
1698,"Murfreesboro city, Tennessee",1998,,543,895
1699,"Murfreesboro city, Tennessee",1999,,520,1071
1700,"Murfreesboro city, Tennessee",2000,,770,961
1701,"Murfreesboro city, Tennessee",2001,,474,1136
1702,"Murfreesboro city, Tennessee",2002,,136,1282
1703,"Murfreesboro city, Tennessee",2003,,120,1603
1704,"Murfreesboro city, Tennessee",2004,,1265,1906
1705,"Murfreesboro city, Tennessee",2005,,1005,1793
1706,"Murfreesboro city, Tennessee",2006,,345,1610
1707,"Murfreesboro city, Tennessee",2007,,237,1157
1708,"Murfreesboro city, Tennessee",2008,,899,579
1709,"Murfreesboro city, Tennessee",2009,,98,392
1710,"Murfreesboro city, Tennessee",2010,,184,346
1711,"Murfreesboro city, Tennessee",2011,,8,400
1712,"Murfreesboro city, Tennessee",2012,,464,521
1713,"Murfreesboro city, Tennessee",2013,,795,787
1714,"Murfreesboro city, Tennessee",2014,,913,821
1715,"Murfreesboro city, Tennessee",2015,,1221,1084
1716,"Murfreesboro city, Tennessee",2016,,375,1264
