,NAME,Year,Units in All Multi-Family Structures,Units in Multi-Family Structures,Units in Single-Family Structures
396,"Clarksville city, Tennessee",1980,,38,515
397,"Clarksville city, Tennessee",1981,,54,103
398,"Clarksville city, Tennessee",1982,,416,325
399,"Clarksville city, Tennessee",1983,,328,586
400,"Clarksville city, Tennessee",1984,,297,420
401,"Clarksville city, Tennessee",1985,,214,555
402,"Clarksville city, Tennessee",1986,,248,669
403,"Clarksville city, Tennessee",1987,,295,676
404,"Clarksville city, Tennessee",1988,,270,616
405,"Clarksville city, Tennessee",1989,,337,584
406,"Clarksville city, Tennessee",1990,,108,515
407,"Clarksville city, Tennessee",1991,,106,793
408,"Clarksville city, Tennessee",1992,,135,884
409,"Clarksville city, Tennessee",1993,,371,1002
410,"Clarksville city, Tennessee",1994,,502,863
411,"Clarksville city, Tennessee",1995,,413,892
412,"Clarksville city, Tennessee",1996,,366,908
413,"Clarksville city, Tennessee",1997,,338,756
414,"Clarksville city, Tennessee",1998,,111,865
415,"Clarksville city, Tennessee",1999,,88,849
416,"Clarksville city, Tennessee",2000,,377,628
417,"Clarksville city, Tennessee",2001,,480,692
418,"Clarksville city, Tennessee",2002,,343,806
419,"Clarksville city, Tennessee",2003,,589,987
420,"Clarksville city, Tennessee",2004,,412,1550
421,"Clarksville city, Tennessee",2005,,775,1374
422,"Clarksville city, Tennessee",2006,,1085,1437
423,"Clarksville city, Tennessee",2007,,535,1038
424,"Clarksville city, Tennessee",2008,,418,635
425,"Clarksville city, Tennessee",2009,,181,859
426,"Clarksville city, Tennessee",2010,,760,675
427,"Clarksville city, Tennessee",2011,,510,996
428,"Clarksville city, Tennessee",2012,,421,937
429,"Clarksville city, Tennessee",2013,,580,779
430,"Clarksville city, Tennessee",2014,,137,850
431,"Clarksville city, Tennessee",2015,,68,688
432,"Clarksville city, Tennessee",2016,,256,788
433,"Clarksville city, Tennessee",2017,,227,806
434,"Clarksville city, Tennessee",2018,,269,669
435,"Clarksville city, Tennessee",2019,,160,1428
436,"Clarksville city, Tennessee",2020,,321,1927
437,"Clarksville city, Tennessee",2021,,1813,1452
438,"Clarksville city, Tennessee",2022,2160,,973
439,"Clarksville city, Tennessee",2023,1455,,805
440,"Columbia city, Tennessee",1980,,88,37
441,"Columbia city, Tennessee",1981,,0,27
442,"Columbia city, Tennessee",1982,,2,9
443,"Columbia city, Tennessee",1983,,58,86
444,"Columbia city, Tennessee",1984,,34,63
445,"Columbia city, Tennessee",1985,,182,144
446,"Columbia city, Tennessee",1986,,115,140
447,"Columbia city, Tennessee",1987,,80,128
448,"Columbia city, Tennessee",1988,,177,185
449,"Columbia city, Tennessee",1989,,26,207
450,"Columbia city, Tennessee",1990,,6,219
451,"Columbia city, Tennessee",1991,,66,201
452,"Columbia city, Tennessee",1992,,0,1
453,"Columbia city, Tennessee",1993,,0,0
454,"Columbia city, Tennessee",1994,,0,126
455,"Columbia city, Tennessee",1995,,10,163
456,"Columbia city, Tennessee",1996,,50,198
457,"Columbia city, Tennessee",1997,,258,140
458,"Columbia city, Tennessee",1998,,0,95
459,"Columbia city, Tennessee",1999,,0,115
460,"Columbia city, Tennessee",2000,,0,116
461,"Columbia city, Tennessee",2001,,0,118
462,"Columbia city, Tennessee",2002,,40,139
463,"Columbia city, Tennessee",2003,,98,133
464,"Columbia city, Tennessee",2004,,158,149
465,"Columbia city, Tennessee",2005,,10,159
466,"Columbia city, Tennessee",2006,,130,200
467,"Columbia city, Tennessee",2007,,0,155
468,"Columbia city, Tennessee",2008,,6,121
469,"Columbia city, Tennessee",2009,,0,78
470,"Columbia city, Tennessee",2010,,0,44
471,"Columbia city, Tennessee",2011,,0,32
